gene,mean_real,mean_virtual,logFC_virtual_vs_real,pearson_r
Ifi205,0.067883156,0.00038017062,-0.06529823,
Kmo,0.06999863,0.00038242224,-0.06727502,
Cep170,0.06816923,0.0004269043,-0.06551937,
Sdccag8,0.044283085,0.0004706216,-0.042860094,
Zbtb18,0.08679191,0.000362626,-0.0828676,
Tfb2m,0.011332581,0.00043372714,-0.010835215,
Lbr,0.2858843,0.0006094726,-0.2508374,
Hlx,0.07601834,0.00039198247,-0.0728756,
Cenpf,0.026221953,0.00036497152,-0.025519148,
Ptpn14,0.039097354,0.0003150851,-0.03803737,
Smyd2,0.027153175,0.00039162915,-0.026399516,
Batf3,0.115208805,0.00047634085,-0.108565435,
Atf3,0.020598363,0.00033030027,-0.020058842,
Nenf,0.105394915,0.0003723174,-0.09983042,
Dtl,0.041303843,0.00037626704,-0.040097427,
Rcor3,0.055097323,0.00050126086,-0.05313188,
G0s2,0.055584896,0.00040669233,-0.05368841,
Cr2,0.08660057,0.00035839964,-0.082695745,
Fam107b,0.45065385,0.00050278305,-0.37151173,
Frmd4a,0.16896522,0.00039500938,-0.155724,
Camk1d,0.09519203,0.0005081726,-0.090421684,
Pfkfb3,0.18435232,0.000497927,-0.16869827,
Il15ra,0.13088943,0.00041457807,-0.12258994,
Mindy3,0.102221705,0.0005233478,-0.09680466,
Vim,1.278739,0.0011121107,-0.8225107,
Stam,0.03698284,0.00036628262,-0.035949167,
Mllt10,0.20858787,0.0005016498,-0.1889511,
Bmi1,0.043378334,0.00040467232,-0.042059258,
Msrb2,0.011128032,0.0004192422,-0.010647415,
Il1rn,0.03997771,0.00048199666,-0.0387174,
Zmynd19,0.034325488,0.000370311,-0.03337927,
Tubb4b,0.47137278,0.000732162,-0.38546395,
Npdc1,0.024453336,0.00030914036,-0.023850046,
Camsap1,0.015492645,0.00041965957,-0.014954288,
Nacc2,0.054504853,0.0003316144,-0.05273976,
Dnlz,0.14823827,0.00041518794,-0.13781372,
Med22,0.07896326,0.0003327013,-0.075667985,
Slc2a6,0.031192608,0.00044554044,-0.030270563,
Vav2,0.024895888,0.0003478546,-0.02424324,
Olfm1,0.08849566,0.00037030992,-0.08442637,
Tsc1,0.017117009,0.0004191808,-0.01655307,
Ttf1,0.08629417,0.0004639038,-0.082308255,
Odf2,0.10956255,0.00048170428,-0.10348426,
Set,1.0488069,0.0009575759,-0.7163005,
Endog,0.10576973,0.0004834452,-0.100058354,
Ptpa,0.15392496,0.0004894344,-0.14267983,
Exosc2,0.0,0.00040709414,0.0004070113,
Fam78a,0.3507588,0.0005456583,-0.300121,
Golga2,0.065855294,0.00031268573,-0.06346494,
Eng,0.05890125,0.00030983117,-0.05692203,
Zbtb43,0.059439436,0.00039512367,-0.05734489,
Traf1,0.5005303,0.0007192376,-0.4050996,
Gsn,0.17096435,0.0003861697,-0.15744154,
Ggta1,0.04958413,0.00043123844,-0.047962874,
Zbtb6,0.023958959,0.00040162491,-0.023274904,
Zeb2,0.1999603,0.00059035415,-0.18169829,
Zeb2os,0.052640274,0.00037378023,-0.050927848,
Rnd3,0.03389224,0.00034552225,-0.03298509,
Neb,0.047020763,0.0004119564,-0.04553689,
Arl5a,0.30751303,0.00047415835,-0.26765284,
Fmnl2,0.10817078,0.000427926,-0.102282874,
Nr4a2,0.072703354,0.0003293909,-0.06985262,
Gpd2,0.04952579,0.00038378083,-0.047954723,
Dapl1,0.7391567,0.0011173233,-0.55228364,
Cd302,0.0612178,0.00041633044,-0.059000872,
Tank,0.2525955,0.0005959278,-0.22462206,
Ifih1,0.07811832,0.00047126715,-0.074746065,
Gca,0.00921073,0.0003514475,-0.008817184,
Scn3a,0.028470937,0.0004083931,-0.027664863,
Stk39,0.052850373,0.00053490896,-0.050966363,
Cers6,0.023682445,0.00045356786,-0.022952901,
Hat1,0.14710577,0.0004394966,-0.13680263,
Cdca7,0.009862435,0.0003761944,-0.009437995,
Cir1,0.09325104,0.00046880366,-0.08868717,
Lnpk,0.10054015,0.0005224334,-0.09527881,
Nfe2l2,0.24749872,0.00047577693,-0.22066486,
Ttn,0.048112962,0.00037421184,-0.046617225,
Itga4,0.547793,0.0006481335,-0.43618208,
Itgav,0.075659245,0.00035467296,-0.072579116,
Tfpi,0.017290741,0.00034861636,-0.016794402,
Ctnnd1,0.021359693,0.00035005753,-0.020784777,
Ube2l6,0.107301466,0.00045840637,-0.10146765,
Prg3,0.15239732,0.00040757906,-0.1414369,
Ptprj,0.10639354,0.0003353897,-0.100770324,
Spi1,0.37475818,0.00049733586,-0.31778064,
Nr1h3,0.11354156,0.00041666708,-0.107128955,
Acp2,0.04953871,0.00036109667,-0.047989707,
Phf21a,0.18408108,0.00047622787,-0.16849089,
Chst1,0.028678374,0.00030390098,-0.027970992,
Trp53i11,0.14498575,0.0004215383,-0.13497074,
Cd82,0.4509476,0.0006604745,-0.37155658,
Accs,0.025839891,0.00045748297,-0.025054304,
Traf6,0.022549827,0.00043631584,-0.021863116,
Cd44,0.31883335,0.0005456745,-0.276202,
Cat,0.16954294,0.00036843927,-0.15624465,
Lmo2,0.13175264,0.00041514187,-0.123352386,
Kif18a,0.017360294,0.00040058172,-0.016810823,
Ccdc34,0.11933791,0.00044416965,-0.11229329,
Dph6,0.107060246,0.00033855214,-0.101369575,
Spred1,0.09714455,0.00039302566,-0.09231799,
Knstrn,0.06816079,0.00043712827,-0.06550124,
Rad51,0.032626644,0.0002980339,-0.031807706,
Mga,0.18405016,0.0005875257,-0.16835353,
Capn3,0.065293975,0.00032528688,-0.062925555,
Snap23,0.12146734,0.00043902104,-0.11419903,
Lcmt2,0.009862435,0.00042866316,-0.009385548,
Ppip5k1,0.015492645,0.00041430476,-0.014959641,
Pdia3,0.5895456,0.0006931168,-0.46275532,
Casc4,0.02938043,0.0004242474,-0.028532939,
Spg11,0.025298135,0.00040568342,-0.024577834,
Gatm,0.02107529,0.00033460298,-0.02052173,
Slc30a4,0.038699716,0.00035052517,-0.037619192,
Bloc1s6,0.035356157,0.00047974868,-0.034265846,
Dut,0.25225306,0.00050163793,-0.22444285,
Eid1,0.24451374,0.00062425167,-0.21812081,
Atp8b4,0.18965554,0.00066252175,-0.17300151,
Sppl2a,0.2891384,0.0006524913,-0.2533218,
Dusp2,0.4845275,0.00076112873,-0.3943357,
Mrps5,0.1868515,0.00044283588,-0.17086126,
Gm14005,0.028945072,0.00040666212,-0.028127495,
Chchd5,0.058310643,0.00037393515,-0.056300037,
Slc20a1,0.1902663,0.00060490234,-0.17357235,
Il1b,0.11952019,0.0005653412,-0.11233501,
Sirpa,0.20372424,0.00039370483,-0.18502665,
Nop56,0.25962448,0.00054157706,-0.23027222,
Mavs,0.039056703,0.00033147165,-0.03798187,
Prnp,0.045571618,0.00036040187,-0.0442034,
Rassf2,0.37494043,0.00055832043,-0.31785223,
Bmp2,0.038134545,0.00037913508,-0.037046332,
Plcb4,0.08110054,0.00028809076,-0.07769149,
Jag1,0.052493162,0.00044751973,-0.050714374,
Kif16b,0.10143631,0.00038009323,-0.09623504,
Dstn,0.21453315,0.00041341168,-0.19394644,
Dtd1,0.1628482,0.0003853849,-0.15048702,
Insm1,0.13155173,0.00035415194,-0.123235814,
Gzf1,0.06533111,0.00043371445,-0.062852025,
Cst3,1.140079,0.0009918591,-0.7598514,
Cst7,0.26747575,0.000668956,-0.2363586,
Fam110a,0.045238256,0.00038687474,-0.043858055,
Id1,0.06256181,0.00040564977,-0.060277224,
Tpx2,0.043821104,0.00034053333,-0.042547643,
Hck,0.17321901,0.00038857272,-0.15936276,
Plagl2,0.034138683,0.0005768453,-0.03299221,
Edem2,0.046765774,0.00041255346,-0.045292728,
Phf20,0.117768265,0.0005057102,-0.1108285,
2900097C17Rik,0.24400388,0.00045251957,-0.2178827,
Ndrg3,0.22621772,0.0004474802,-0.20348702,
Src,0.056292318,0.00032131124,-0.054443706,
Tgm2,0.050092272,0.00035437176,-0.048523728,
Mafb,0.07969465,0.00036729636,-0.07631104,
Ift52,0.09486594,0.0005089346,-0.090123124,
Oser1,0.07314076,0.00045043346,-0.070139304,
Serinc3,0.5483514,0.0008053714,-0.43638572,
Pkig,0.06030769,0.0005113423,-0.058047928,
Ada,0.0,0.0004117484,0.00041166364,
Tomm34,0.2033335,0.0005981548,-0.18449765,
Slpi,0.10601152,0.00040295525,-0.10035744,
Sdc4,0.18231672,0.00038227523,-0.16709363,
Ube2c,0.049998097,0.00029641122,-0.048491985,
Ctsa,0.22761178,0.00038603003,-0.20468469,
Pltp,0.0,0.0003667752,0.00036670794,
Cd40,0.23180401,0.00037707816,-0.20810276,
Ncoa3,0.18389502,0.0004548092,-0.16835517,
Sulf2,0.07052892,0.00038115797,-0.06777176,
Prex1,0.49603602,0.00058540644,-0.40223372,
Cebpb,0.19324589,0.0005910978,-0.1760863,
Zbp1,0.25169167,0.00092792226,-0.22356847,
Pmepa1,0.1240703,0.00056233647,-0.11639412,
Ctsz,0.6051837,0.0006474269,-0.472591,
Mtg2,0.09479442,0.00044806954,-0.09011864,
Slc17a9,0.063475914,0.00042268273,-0.061120115,
Zbtb46,0.07009916,0.00033378752,-0.067417584,
Foxp3,0.098902285,0.000624316,-0.09368764,
Tfe3,0.10137757,0.0004849624,-0.09607688,
Otud5,0.15681653,0.00041322378,-0.14525872,
Cybb,0.10017711,0.0005528881,-0.09491844,
Atp6ap2,0.23646478,0.00053299026,-0.21172348,
1810030O07Rik,0.13932541,0.00046181516,-0.12997463,
Cask,0.054928515,0.00043705248,-0.05303605,
Gpr34,0.043278452,0.00040387193,-0.041964322,
Rp2,0.08538412,0.0004392919,-0.081494756,
Cfp,0.10400563,0.0003940642,-0.09855106,
Gria3,0.043287583,0.00029610802,-0.0420808,
Sh2d1a,0.36692938,0.00066165254,-0.31190544,
Mospd1,0.029449984,0.0003846453,-0.028640091,
Cd40lg,0.0,0.0005224401,0.0005223037,
Arhgef6,0.18639523,0.0005029587,-0.17041664,
Hmgb3,0.050417162,0.00039769386,-0.048789766,
Bgn,0.049567528,0.000330282,-0.048047975,
L1cam,0.052284986,0.00038288586,-0.05058117,
Gdi1,0.122052886,0.0005195139,-0.11464056,
Ubl4a,0.111408696,0.00048910157,-0.10513932,
Ikbkg,0.024632158,0.0003835593,-0.023950193,
Mpp1,0.040274225,0.00048264934,-0.039001822,
Fundc2,0.3975286,0.0005588224,-0.3341467,
Cmc4,0.048730634,0.0003834129,-0.047197174,
Prkx,0.09484927,0.00040562215,-0.09021116,
Eif2s3x,0.2527515,0.0005047305,-0.22483774,
Maged1,0.04006844,0.00035767423,-0.038928907,
Cxcr3,0.10718571,0.0005029628,-0.10131855,
Rtl5,0.04657365,0.0003091428,-0.045212545,
Chic1,0.0,0.0003301083,0.00033005382,
Magt1,0.42238894,0.00046479885,-0.35187313,
P2ry10,0.1580963,0.00045154174,-0.14632608,
Gpr174,0.12574847,0.0005074184,-0.117940836,
Itm2a,0.14554347,0.00041687294,-0.13546239,
Hmgn5,0.093312085,0.0005411803,-0.08867066,
Sh3bgrl,0.16236214,0.00044182627,-0.15001254,
Gm6377,0.07260258,0.0003430355,-0.06974503,
Cstf2,0.07985377,0.0005080299,-0.076317735,
Btk,0.11849144,0.00041609028,-0.11156485,
Tceal8,0.051678024,0.0002793936,-0.05010765,
Morf4l2,0.25918275,0.0005239274,-0.2299391,
Tbc1d8b,0.024756053,0.00035626645,-0.024098385,
Tmem29,0.02197881,0.00038780016,-0.021353034,
Gnl3l,0.045192156,0.000489803,-0.04371107,
Sat1,0.5661379,0.0007781715,-0.4478348,
Prdx4,0.07739866,0.00045842896,-0.074091166,
Phka2,0.050608266,0.00042521092,-0.04894418,
Ap1s2,0.044148553,0.0003794267,-0.042822417,
Mospd2,0.069884434,0.00045149642,-0.06709924,
Gpm6b,0.051907152,0.00039918092,-0.05020575,
Rab9,0.22703488,0.0004248893,-0.2041758,
Tmsb4x,4.938403,0.0031240399,-1.7783211,
Tlr7,0.055327013,0.00044737075,-0.053403415,
Mid1,0.052818745,0.00040850148,-0.051062666,
Gm16685,0.055270188,0.00027807907,-0.053518794,
Tpd52,0.20036618,0.0003627688,-0.18226394,
Zbtb10,0.0,0.00043476466,0.0004346702,
Fabp5,0.33081034,0.00067145895,-0.2851168,
Car2,0.017940767,0.00048484406,-0.017297003,
Gm9733,0.028945072,0.00030196362,-0.028232157,
Sirpb1b,0.04615423,0.00037173432,-0.044749137,
Sirpb1c,0.06244734,0.00037587373,-0.060199257,
Gm5150,0.053828217,0.0003963555,-0.052033175,
Armc1,0.16409422,0.0004930561,-0.15145037,
Hps3,0.19792692,0.0004833735,-0.18010925,
Gyg,0.17441292,0.00044955715,-0.16031893,
Nceh1,0.121702425,0.00036610756,-0.114481516,
Prkci,0.0,0.0003941446,0.0003940669,
Zmat3,0.027659299,0.00034863243,-0.02693512,
Gnb4,0.11427532,0.0004340443,-0.1077703,
Anxa5,0.35522774,0.0005602574,-0.30340943,
Ccna2,0.030027205,0.00038956103,-0.02919573,
Cetn4,0.014843761,0.00031593657,-0.014418784,
Plk4,0.026074827,0.00042992394,-0.025310844,
Pgrmc2,0.015588896,0.00051161414,-0.014957155,
Slc7a11,0.043728463,0.00045961817,-0.04233985,
Exosc8,0.33494455,0.0006379666,-0.28825197,
Spg20,0.088960744,0.0003282779,-0.08489557,
Eif2a,0.16741136,0.00057352264,-0.15421544,
Gpr171,0.1695716,0.000603591,-0.15603411,
Rap2b,0.22775811,0.00044601652,-0.20474392,
Slc33a1,0.088168465,0.00036998044,-0.084126055,
Ssr3,0.3167076,0.00052035856,-0.27461416,
Gfm1,0.032845434,0.00046522546,-0.031852435,
Smc4,0.78593165,0.00074157724,-0.57919896,
Ppid,0.1812152,0.00053706433,-0.16600682,
Tlr2,0.058892373,0.00039704476,-0.056826465,
