proba_de,proba_not_de,bayes_factor,scale1,scale2,pseudocounts,delta,lfc_mean,lfc_median,lfc_std,lfc_min,lfc_max,raw_mean1,raw_mean2,non_zeros_proportion1,non_zeros_proportion2,raw_normalized_mean1,raw_normalized_mean2,is_de_fdr_0.05,comparison,group1,group2
0.9166666666666666,0.08333333333333337,2.3978951637074686,0.000374389,0.0006026191,0.0,0.25,-0.66309506,-0.5537715,0.35831264,-1.3511944,-0.19992924,0.090909086,0.3369565,0.09090909090909093,0.2065217391304347,0.97634745,4.8707256,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.9166666666666666,0.08333333333333337,2.3978951637074686,0.00059455517,0.001006825,0.0,0.25,-0.74894077,-0.7122245,0.61143994,-1.5960569,0.40329266,0.051948052,0.85869557,0.03896103896103896,0.32608695652173897,1.1273555,15.313539,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.9166666666666666,0.08333333333333337,2.3978951637074686,0.00071412866,0.0012390369,0.0,0.25,-0.81518316,-0.8126693,0.4615831,-1.6253424,0.12520981,0.2077922,2.108696,0.11688311688311691,0.42391304347826064,3.3414526,29.467012,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.9166666666666666,0.08333333333333337,2.3978951637074686,0.0005546286,0.00082814106,0.0,0.25,-0.56315035,-0.59413624,0.44657114,-1.6068478,0.29406738,0.18181819,0.6521738,0.11688311688311691,0.2826086956521738,1.8684715,11.108366,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.9166666666666666,0.08333333333333337,2.3978951637074686,0.00039813097,0.0005334567,0.0,0.25,-0.4210775,-0.3985629,0.1414592,-0.72010136,-0.23192596,0.116883114,0.20652173,0.10389610389610392,0.09782608695652173,2.4362545,2.9582784,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.8333333333333334,0.16666666666666663,1.6094378644341025,0.0005081205,0.0006959347,0.0,0.25,-0.4249657,-0.37090015,0.5382514,-1.3218555,0.44727516,0.025974026,0.3152174,0.025974025974025976,0.043478260869565216,0.4476354,3.3007798,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.8333333333333334,0.16666666666666663,1.6094378644341025,0.00063287147,0.00055473886,0.0,0.25,0.18747783,0.33236742,0.35944742,-0.6220808,0.64171696,0.3116883,0.26086953,0.20779220779220783,0.1956521739130434,4.0779276,3.7276878,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.8333333333333334,0.16666666666666663,1.6094378644341025,0.00047198695,0.0007488169,0.0,0.25,-0.687367,-0.74694014,0.5119219,-1.8367834,0.17596626,0.090909086,0.85869557,0.09090909090909093,0.34782608695652156,1.7915138,14.416204,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.8333333333333334,0.16666666666666663,1.6094378644341025,0.0006881058,0.0005256407,0.0,0.25,0.37131587,0.47167492,0.29058155,-0.360075,0.69569206,0.4025975,0.13043477,0.32467532467532473,0.11956521739130432,6.8960924,2.2133353,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.8333333333333334,0.16666666666666663,1.6094378644341025,0.00080061535,0.0006240236,0.0,0.25,0.32753077,0.5169182,0.5235729,-0.77905464,1.010479,0.3506494,0.17391303,0.23376623376623382,0.11956521739130432,8.070818,3.2219853,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.8333333333333334,0.16666666666666663,1.6094378644341025,0.00051864877,0.000786623,0.0,0.25,-0.5959096,-0.6527772,0.39576542,-1.2902002,0.16508484,0.2727273,0.9130433,0.22077922077922082,0.47826086956521713,4.056893,13.576377,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.8333333333333334,0.16666666666666663,1.6094378644341025,0.00063414074,0.0005055428,0.0,0.25,0.32744798,0.3165741,0.16496792,-0.0031795502,0.5680828,0.4805196,0.3369565,0.3896103896103897,0.1847826086956521,7.735608,2.8430378,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.8333333333333334,0.16666666666666663,1.6094378644341025,0.0003456968,0.00029059668,0.0,0.25,0.23204462,0.2998352,0.4532979,-0.3923149,0.96893215,0.116883114,0.086956516,0.07792207792207793,0.07608695652173914,0.6483167,0.889984,False,IL-6 vs IFN-beta,IL-6,IFN-beta
0.8333333333333334,0.16666666666666663,1.6094378644341025,0.0005417407,0.0004038048,0.0,0.25,0.3970817,0.47200823,0.3579086,-0.40702724,0.9541092,0.27272728,0.16304347,0.15584415584415587,0.10869565217391303,1.7139145,1.7445692,False,IL-6 vs IFN-beta,IL-6,IFN-beta
